,casos_2516300,casos_est_2516300,casos_est_min_2516300,casos_est_max_2516300,p_rt1_2516300,p_inc100k_2516300,temp_min_2516300,temp_max_2516300,umid_min_2516300,pressao_min_2516300,casos_2512408,casos_est_2512408,casos_est_min_2512408,casos_est_max_2512408,p_rt1_2512408,p_inc100k_2512408,temp_min_2512408,temp_max_2512408,umid_min_2512408,pressao_min_2512408,casos_2510303,casos_est_2510303,casos_est_min_2510303,casos_est_max_2510303,p_rt1_2510303,p_inc100k_2510303,temp_min_2510303,temp_max_2510303,umid_min_2510303,pressao_min_2510303,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,pressao_min_2507507,casos_2505105,casos_est_2505105,casos_est_min_2505105,casos_est_max_2505105,p_rt1_2505105,p_inc100k_2505105,temp_min_2505105,temp_max_2505105,umid_min_2505105,pressao_min_2505105,casos_2502151,casos_est_2502151,casos_est_min_2502151,casos_est_max_2502151,p_rt1_2502151,p_inc100k_2502151,temp_min_2502151,temp_max_2502151,umid_min_2502151,pressao_min_2502151
2010-01-03,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-01-10,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-01-17,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-01-24,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-01-31,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-02-07,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-02-14,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-02-21,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-02-28,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
2010-03-07,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,0,0.0,0,0,0.5,0.0,21.677414,32.011680500000004,44.62878875,0.9959085325
